,Date,Event,Location,Routes
1,Jun 12  - Jun 19,Jun 12  - Jun 19,"Baar,  Switzerland",9 stages
2,Jul 01  - Jul 24,Jul 01  - Jul 24,"Copenhagen, Denmark",21 stages
3,Jul 30,Jul 30,"San-Sebastian, Spain",219km
4,Aug 08  - Aug 14,Aug 08  - Aug 14,"Radzymin, Poland",7 stages
5,Aug 19  - Sep 11,Aug 19  - Sep 11,"Utrecht, Netherlands",21 stages
6,Aug 21,Aug 21,"Hamburg, Germany",250 km
7,Aug 29  - Sep 04,Aug 29  - Sep 04,"Breda, Netherlands",7 stages
8,Sep 09,Sep 09,"Quebec City, Canada",200km
9,Sep 11,Sep 11,"Montreal, Canada",206km
10,Sep 14,Sep 14,"Beaufays, Belgium",205 km
11,Oct 08,Oct 08,"Bergamo, Italy",255 km
12,Jan 20  - Jan 28,Jan 20  - Jan 28,"Adelaide, Australia",6 stages
13,Jan 29  - Feb 05,Jan 29  - Feb 05,"San Juan, Argentina",7 stages
14,Feb 01  - Feb 05,Feb 01  - Feb 05,"Castelló de la Plana, Spain",5 stages
15,Feb 07  - Feb 12,Feb 07  - Feb 12,"Al Sawadi Beach, Oman",6 stages
16,Feb 15  - Feb 19,Feb 15  - Feb 19,"Loule, Portugal",5 stages
17,Feb 19  - Feb 25,Feb 19  - Feb 25,"Abu Dhabi, United Arab Emirates",7 stages
18,Feb 25,Feb 25,"Ghent, Flanders, Belgium",196 km
19,Feb 26,Feb 26,"Kuurne, Belgium",201km
20,Mar 04,Mar 04,"Siena, Tuscany, Italy",176 km
21,Mar 05  - Mar 12,Mar 05  - Mar 12,"Paris, France",7 stages
22,Mar 06  - Mar 12,Mar 06  - Mar 12,"Lido di Camaiore, Italy",7 stages
23,Mar 18,Mar 18,"Milan, Italy",291 km
24,Mar 20  - Mar 26,Mar 20  - Mar 26,"Calella, Spain",7 stages
25,Mar 24,Mar 24,"Harelbeke, Belgium",203 km
26,Mar 26,Mar 26,"Ghent, Belgium",243 km
27,Mar 29,Mar 29,"Roeselare, Belgium",200km
28,Apr 02,Apr 02,"Antwerp, Belgium",255km
29,Apr 03  - Apr 08,Apr 03  - Apr 08,"Etxebarria, Spain",6 stages
30,Apr 05,Apr 05,"Antwerp, Belgium",208 km
31,Apr 09,Apr 09,"Maastricht, Netherlands",250 km
32,Apr 10  - Apr 15,Apr 10  - Apr 15,"Istanbul, Turkey",8 stages
33,Apr 12,Apr 12,"Overijse, Belgium",205km
34,Apr 16,Apr 16,"Compiègne, France",258 km
35,Apr 17  - Apr 21,Apr 17  - Apr 21,"Arco, Italy",5 stages
36,Apr 19,Apr 19,"Marche-en-Famenne, Belgium",196km
37,Apr 22  - Apr 29,Apr 22  - Apr 29,"Plouay, France",229 km
38,Apr 23,Apr 23,"Liege, Belgium",250 km
39,Apr 27,Apr 27,"La Chaux-de-Fonds, Switzerland",6 stages
40,Apr 29,Apr 29,"Eschborn-Frankfurt, Germany",217 km
